num	lib_trigram	lib_score	my_trigram	my_score	diff
1	'data division' whiny	43.40492966773468	remand tayseer alouni	43.40492966773468	0.0
2	'edited warez' <cite>pc	43.40492966773468	newburg bahar uttam	43.40492966773468	0.0
3	'est toujours refus	43.40492966773468	espresso dunkin donuts	43.40492966773468	0.0
4	'treasure hunt' bandit's	43.40492966773468	trond myklebust netapp.maintainers	43.40492966773468	0.0
5	'try buy' <strong>site	43.40492966773468	phaithful phlock phinish	43.40492966773468	0.0
6	/url ntc=04 sg1	43.40492966773468	2hrs 26min 20sec	43.40492966773468	0.0
7	09.12.04 janne romppainen	43.40492966773468	maleh adumim 31,000	43.40492966773468	0.0
8	2004</title> <script language=	43.40492966773468	jasbir kang yuba	43.40492966773468	0.0
9	29</strong> 'technology centre'	43.40492966773468	ducked ohel moishe	43.40492966773468	0.0
10	2hrs 26min 20sec	43.40492966773468	marceal miji itengo	43.40492966773468	0.0
11	3032 3033 h.r	43.40492966773468	miji itengo angola's	43.40492966773468	0.0
12	400-700 kbps kilobit	43.40492966773468	bainum outspent mufi	43.40492966773468	0.0
13	67-62 tuscon gu	43.40492966773468	outspent mufi hannemann	43.40492966773468	0.0
14	<link rel= stylesheet	43.40492966773468	mufi hannemann honolulu's	43.40492966773468	0.0
15	<strong>episode 27</strong> bastard	43.40492966773468	toussaint kongo doudou	43.40492966773468	0.0
16	abend einem offiziellen	43.40492966773468	namo narayan meena	43.40492966773468	0.0
17	alekman belchertown ma.	43.40492966773468	madame edmey cimeus	43.40492966773468	0.0
18	alk copilot smartphone.	43.40492966773468	scalia jokes orgies	43.40492966773468	0.0
19	anieres cologny carouge	43.40492966773468	verissimo correia seabra	43.40492966773468	0.0
20	anpac unione piloti	43.40492966773468	tunde sanni ilorin	43.40492966773468	0.0
21	aspwiki snipsnap aswiki	43.40492966773468	'treasure hunt' bandit's	43.40492966773468	0.0
22	baba ganoush tabouli	43.40492966773468	ewen macaskill inlondon	43.40492966773468	0.0
23	bainum outspent mufi	43.40492966773468	prakash sharan mahat	43.40492966773468	0.0
24	balsamic vinigga's trollaxor's	43.40492966773468	hah mihd kahr	43.40492966773468	0.0
25	bassiana metarhizium anisopliae	43.40492966773468	mihd kahr zeye	43.40492966773468	0.0
26	bayerische motoren werke	43.40492966773468	sahb zahr kow	43.40492966773468	0.0
27	beauveria bassiana metarhizium	43.40492966773468	eliza manningham buller	43.40492966773468	0.0
28	betancor javi venta	43.40492966773468	champa devi shukla	43.40492966773468	0.0
29	beverly's nicki silveira	43.40492966773468	prithviraj chauhan palam	43.40492966773468	0.0
30	candour rijkman groenink	43.40492966773468	latvias andris piebalgs	43.40492966773468	0.0
